Type(类型)	Name（视图名/表名）	Description（描述）
View	        USER_COL_PENDING_STATS	
View	        USER_COL_PRIVS	
View	        USER_COL_PRIVS_MADE	
View	        USER_COL_PRIVS_RECD	
View	        USER_COMPARISON	
View	        USER_COMPARISON_COLUMNS	
View	        USER_COMPARISON_ROW_DIF	
View	        USER_COMPARISON_SCAN	
View	        USER_COMPARISON_SCAN_SUMMA	
View	        USER_CONSTRAINTS	
View	        USER_CONS_COLUMNS	
View	        USER_CONS_OBJ_COLUMNS	
View	        USER_CQ_NOTIFICATION_QUERI	
View	        USER_CUBES	
View	        USER_CUBE_ATTRIBUTES	
View	        USER_CUBE_ATTR_VISIBILITY	
View	        USER_CUBE_BUILD_PROCESSES	
View	        USER_CUBE_CALCULATED_MEMBE	
View	        USER_CUBE_DIMENSIONALITY	
View	        USER_CUBE_DIMENSIONS	
View	        USER_CUBE_DIM_LEVELS	
View	        USER_CUBE_DIM_MODELS	
View	        USER_CUBE_DIM_VIEWS	
View	        USER_CUBE_DIM_VIEW_COLUMNS	
View	        USER_CUBE_HIERARCHIES	
View	        USER_CUBE_HIER_LEVELS	
View	        USER_CUBE_HIER_VIEWS	
View	        USER_CUBE_HIER_VIEW_COLUMN	
View	        USER_CUBE_MEASURES	
View	        USER_CUBE_VIEWS	
View	        USER_CUBE_VIEW_COLUMNS	
View	        USER_DATAPUMP_JOBS	
View	        USER_DBFS_HS	
View	        USER_DBFS_HS_COMMANDS	
View	        USER_DBFS_HS_FILES	
View	        USER_DBFS_HS_FIXED_PROPERT	
View	        USER_DBFS_HS_PROPERTIES	
View	        USER_DB_LINKS	
View	        USER_DEPENDENCIES	
View	        USER_DIMENSIONS	
View	        USER_DIM_ATTRIBUTES	
View	        USER_DIM_CHILD_OF	
View	        USER_DIM_HIERARCHIES	
View	        USER_DIM_JOIN_KEY	
View	        USER_DIM_LEVELS	
View	        USER_DIM_LEVEL_KEY	
View	        USER_EDITIONING_VIEWS	
View	        USER_EDITIONING_VIEWS_AE	
View	        USER_EDITIONING_VIEW_COLS	
View	        USER_EDITIONING_VIEW_COLS_	
View	        USER_ENCRYPTED_COLUMNS	
View	        USER_EPG_DAD_AUTHORIZATION	
View	        USER_ERRORS	
View	        USER_ERRORS_AE	
View	        USER_EVALUATION_CONTEXTS	
View	        USER_EVALUATION_CONTEXT_TA	
View	        USER_EVALUATION_CONTEXT_VA	
View	        USER_EXTENTS	
View	        USER_EXTERNAL_LOCATIONS	
View	        USER_EXTERNAL_TABLES	
View	        USER_FILE_GROUPS	
